微信号,公众号名称,发布时间,文章标题,采集时间
2247484138_1,梦嘉传媒,1周前,港真！你对梦嘉很“粽”要！,2018-06-28
2247484120_1,梦嘉传媒,6月10日,追求卓越，再创新高！梦嘉传媒喜获虎啸奖年度自媒体公司大奖！,2018-06-28
2247484106_1,梦嘉传媒,5月28日,青春怒放，梦想起航,2018-06-28
2247484098_1,梦嘉传媒,5月4日,迈入新时代，青年勇当先,2018-06-28
2247484091_1,梦嘉传媒,4月30日,年轻无惧挑战，共创梦嘉美好未来,2018-06-28
2247484065_1,梦嘉传媒,3月8日,梦嘉集团迎来众多女神共度女生节,2018-06-28
2247484061_1,梦嘉传媒,1月31日,苏州市新媒体联合会成立 梦嘉传媒当选首届理事单位,2018-06-28
2247484057_1,梦嘉传媒,1月30日,2017完美谢幕，2018为梦想嘉油！,2018-06-28
2247484057_2,梦嘉传媒,1月30日,新媒体公司为优秀员工采买礼品，最后选的居然是......,2018-06-28
2247483972_1,梦嘉传媒,1月12日,喜报：微众新媒体获得国家级众创空间资质,2018-06-28
2247483941_1,梦嘉传媒,2017-12-30,因为你的诞生，使这一天异彩纷呈,2018-06-28
2247483924_1,梦嘉传媒,2017-12-25,这个圣诞，你并不孤单！,2018-06-28
2247483885_1,梦嘉传媒,2017-11-20,生活其实就是一场红黑博弈,2018-06-28
2247483869_1,梦嘉传媒,2017-11-01,一起的时光最走心,2018-06-28
2247483859_1,梦嘉传媒,2017-10-23,致青春、至时尚，快乐起航、共创辉煌！,2018-06-28
2247483852_1,梦嘉传媒,2017-10-19,关于粉丝迁移至本公众号的说明,2018-06-28
2247483794_1,梦嘉传媒,2017-04-19,第四届中国新媒体大会-梦嘉传媒再获佳绩！,2018-06-28
2247483789_1,梦嘉传媒,2017-04-14,脚踏春光，4月的阳澄湖应该怎么玩︱2017梦嘉传媒春季团建拓展活动,2018-06-28
2247483756_1,梦嘉传媒,2016-09-26,招聘｜骚年，看你面相就是我们公司的有缘人啊！,2018-06-28
2247483753_1,梦嘉传媒,2016-08-05,创事记！新媒体投资峰会暨微众新媒体孵化器开业仪式圆满结束,2018-06-28
2247483722_1,梦嘉传媒,2016-07-28,新媒体大事件｜2016新媒体投资峰会暨微众新媒体孵化器开业仪式,2018-06-28
2247483718_1,梦嘉传媒,2016-06-23,招聘 | 找对象主要看对方气质，找工作主要看公司气场！,2018-06-28
2247483703_1,梦嘉传媒,2016-06-20,我搬了新家，你还会继续爱我吗？,2018-06-28
2247483687_1,梦嘉传媒,2016-05-12,最美的不是下雨天，而是与你一起躲过雨的……烧烤区,2018-06-28
